OrderID,CustomerID,EmployeeID,OrderDate,Employee Name,Sales,Freight,ShipVia,Shipper CompanyName,Customer ComapanyName,ProductID,ProductName,CategoryID,CategoryName,TerritoryID,RegionID,RegionDescription,SupplierID,Supplier CompanyName,Quantity,UnitPrice,Discount
10263,ERNSH,9,23-07-1996,Dodsworth Anne,364.75,146.06,3,Federal Shipping,Ernst Handel,16,Pavlova,3,Confections,03049,3,Northern,7,"Pavlova, Ltd.",12,30.4,0.25
10266,WARTH,3,26-07-1996,Leverling Janet,675.9,25.73,1,Speedy Express,Wartian Herkku,12,Queso Manchego La Pastora,4,Dairy Products,30346,4,Southern,5,Cooperativa de Quesos 'Las Cabras',80,29.8,0.050000001
10267,FRANK,4,29-07-1996,Peacock Margaret,1376,208.58,1,Speedy Express,Frankenversand,40,Boston Crab Meat,8,Seafood,20852,1,Eastern,19,New England Seafood Cannery,55,52,0
10268,GROSR,8,30-07-1996,Callahan Laura,2142.2,66.29,3,Federal Shipping,GROSELLA-Restaurante,29,Thüringer Rostbratwurst,6,Meat/Poultry,19428,3,Northern,12,Plutzer Lebensmittelgroßmärkte AG,152,65.9,0
10269,WHITC,5,31-07-1996,Buchanan Steven,538.6,4.56,1,Speedy Express,White Clover Markets,33,Geitost,4,Dairy Products,02903,1,Eastern,15,Norske Meierier,27,45,0.050000001
10270,WARTH,1,01-08-1996,Davolio Nancy,1200.8,136.54,3,Federal Shipping,Wartian Herkku,36,Inlagd Sill,8,Seafood,06897,1,Eastern,17,Svensk Sjöföda AB,32,75.8,0
10273,QUICK,3,05-08-1996,Leverling Janet,155.4,76.07,1,Speedy Express,QUICK-Stop,10,Ikura,8,Seafood,30346,4,Southern,4,Tokyo Traders,8,36.3,0.050000001
10274,VINET,6,06-08-1996,Suyama Michael,1414.8,6.01,3,Federal Shipping,Vins et alcools Chevalier,71,Flotemysost,4,Dairy Products,85014,2,Western,15,Norske Meierier,76,74.7,0
10277,MORGK,2,09-08-1996,Fuller Andrew,88.8,125.77,1,Speedy Express,Morgenstern Gesundkost,28,Rössle Sauerkraut,7,Produce,01581,1,Eastern,12,Plutzer Lebensmittelgroßmärkte AG,13,15.9,0
10278,BERGS,8,12-08-1996,Callahan Laura,552.5,92.69,2,United Package,Berglunds snabbköp,44,Gula Malacca,2,Condiments,19428,3,Northern,20,Leka Trading,46,62.7,0
10281,ROMEY,4,14-08-1996,Peacock Margaret,1420,2.94,2,United Package,Romero y tomillo,19,Teatime Chocolate Biscuits,3,Confections,20852,1,Eastern,8,"Specialty Biscuits, Ltd.",80,42.2,0
10282,ROMEY,4,15-08-1996,Peacock Margaret,608,12.69,2,United Package,Romero y tomillo,30,Nord-Ost Matjeshering,8,Seafood,20852,1,Eastern,13,Nord-Ost-Fisch Handelsgesellschaft mbH,50,23.6,0
10283,LILAS,3,16-08-1996,Leverling Janet,954.4,84.81,2,United Package,LILA-Supermercado,15,Genen Shouyu,2,Condiments,30346,4,Southern,6,Mayumi's,42,77.2,0
10285,QUICK,1,20-08-1996,Davolio Nancy,88.8,76.83,3,Federal Shipping,QUICK-Stop,1,Chai,1,Beverages,06897,1,Eastern,1,Exotic Liquids,6,40.8,0.200000003
10286,QUICK,8,21-08-1996,Callahan Laura,1762,229.24,1,Speedy Express,QUICK-Stop,35,Steeleye Stout,1,Beverages,19428,3,Northern,16,Bigfoot Breweries,75,102.8,0
10288,REGGC,4,23-08-1996,Peacock Margaret,2326.7,7.45,2,United Package,Reggiani Caseifici,54,Tourtière,6,Meat/Poultry,20852,1,Eastern,25,Ma Maison,95,75.6,0.100000001
10291,QUEDE,6,27-08-1996,Suyama Michael,1497,6.4,3,Federal Shipping,Que Delícia,13,Konbu,8,Seafood,85014,2,Western,6,Mayumi's,71,81.2,0.100000001
10293,TORTU,1,29-08-1996,Davolio Nancy,1939.7,21.18,1,Speedy Express,Tortuga Restaurante,18,Carnarvon Tigers,8,Seafood,06897,1,Eastern,7,"Pavlova, Ltd.",75,52.7,0
10295,VINET,2,02-09-1996,Fuller Andrew,1585.95,1.15,1,Speedy Express,Vins et alcools Chevalier,56,Gnocchi di nonna Alice,5,Grains/Cereals,01581,1,Eastern,26,Pasta Buttini s.r.l.,69,51,0
10297,BLONP,5,04-09-1996,Buchanan Steven,927.7,5.74,3,Federal Shipping,Blondesddsl père et fils,39,Chartreuse verte,1,Beverages,02903,1,Eastern,18,Aux joyeux ecclésiastiques,70,46.5,0
10300,MAGAA,2,09-09-1996,Fuller Andrew,136,17.68,2,United Package,Magazzini Alimentari Riuniti,66,Louisiana Hot Spiced Okra,2,Condiments,01581,1,Eastern,2,New Orleans Cajun Delights,10,27.2,0
10304,TORTU,1,12-09-1996,Davolio Nancy,1273.6,63.79,1,Speedy Express,Tortuga Restaurante,49,Maxilaku,3,Confections,06897,1,Eastern,23,Karkki Oy,75,39.4,0
10307,LONEP,2,17-09-1996,Fuller Andrew,1622.4,0.56,1,Speedy Express,Lonesome Pine Restaurant,62,Tarte au sucre,3,Confections,01581,1,Eastern,29,Forêts d'érables,51,66.1,0
10308,ANATR,7,18-09-1996,King Robert,2207.9,1.61,2,United Package,Ana Trujillo Emparedados y helados,69,Gudbrandsdalsost,4,Dairy Products,60179,2,Western,15,Norske Meierier,80,56,0
10309,HUNGO,3,19-09-1996,Leverling Janet,1897.2,47.3,1,Speedy Express,Hungry Owl All-Night Grocers,4,Chef Anton's Cajun Seasoning,2,Condiments,30346,4,Southern,2,New Orleans Cajun Delights,50,106.4,0
10311,DUMON,1,20-09-1996,Davolio Nancy,452.8,24.69,2,United Package,Du monde entier,42,Singaporean Hokkien Fried Mee,5,Grains/Cereals,06897,1,Eastern,20,Leka Trading,40,22.2,0
10314,RATTC,1,25-09-1996,Davolio Nancy,139.8,74.16,3,Federal Shipping,Rattlesnake Canyon Grocery,32,Mascarpone Fabioli,4,Dairy Products,06897,1,Eastern,14,Formaggi Fortini s.r.l.,8,49.8,0.100000001
10315,ISLAT,4,26-09-1996,Peacock Margaret,835.2,41.76,1,Speedy Express,Island Trading,34,Sasquatch Ale,1,Beverages,20852,1,Eastern,16,Bigfoot Breweries,24,34.8,0
10322,PERIC,7,04-10-1996,King Robert,595.8,0.4,2,United Package,Pericles Comidas clásicas,52,Filo Mix,5,Grains/Cereals,60179,2,Western,24,"G'day, Mate",22,41.5,0
10325,KOENE,1,09-10-1996,Davolio Nancy,0,64.86,1,Speedy Express,Königlich Essen,6,Grandma's Boysenberry Spread,2,Condiments,06897,1,Eastern,3,Grandma Kelly's Homestead,0,0,0
10328,FURIB,4,14-10-1996,Peacock Margaret,0,87.03,2,United Package,Furia Bacalhau e Frutos do Mar,59,Raclette Courdavault,4,Dairy Products,20852,1,Eastern,28,Gai pâturage,0,0,0
10330,LILAS,3,16-10-1996,Leverling Janet,0,12.75,1,Speedy Express,LILA-Supermercado,26,Gumbär Gummibärchen,3,Confections,30346,4,Southern,11,Heli Süßwaren GmbH & Co. KG,0,0,0.150000006
10337,FRANK,4,24-10-1996,Peacock Margaret,1296,108.26,2,United Package,Frankenversand,23,Tunnbröd,5,Grains/Cereals,20852,1,Eastern,9,PB Knäckebröd AB,20,64.8,0
10343,LEHMS,4,31-10-1996,Peacock Margaret,2708.8,110.37,2,United Package,Lehmanns Marktstand,64,Wimmers gute Semmelknödel,5,Grains/Cereals,20852,1,Eastern,12,Plutzer Lebensmittelgroßmärkte AG,80,104.4,0
10345,QUICK,2,04-11-1996,Fuller Andrew,4156.7,249.06,3,Federal Shipping,QUICK-Stop,8,Northwoods Cranberry Sauce,2,Condiments,01581,1,Eastern,3,Grandma Kelly's Homestead,80,163.4,0
10347,FAMIA,4,06-11-1996,Peacock Margaret,336,3.1,2,United Package,Familia Arquibaldo,25,NuNuCa Nuß-Nougat-Creme,3,Confections,20852,1,Eastern,11,Heli Süßwaren GmbH & Co. KG,15,53.3,0
10350,LAMAI,6,11-11-1996,Suyama Michael,2835,64.19,3,Federal Shipping,La maison d'Asie,50,Valkoinen suklaa,3,Confections,85014,2,Western,23,Karkki Oy,80,47.1,0.100000001
10351,ERNSH,1,11-11-1996,Davolio Nancy,288,162.33,1,Speedy Express,Ernst Handel,38,Côte de Blaye,1,Beverages,06897,1,Eastern,18,Aux joyeux ecclésiastiques,20,14.4,0.050000001
10366,GALED,8,28-11-1996,Callahan Laura,316.7,10.14,2,United Package,Galería del gastrónomo,65,Louisiana Fiery Hot Pepper Sauce,2,Condiments,19428,3,Northern,2,New Orleans Cajun Delights,18,17.6,0
10373,HUNGO,4,05-12-1996,Peacock Margaret,1731.1,124.12,3,Federal Shipping,Hungry Owl All-Night Grocers,58,Escargots de Bourgogne,8,Seafood,20852,1,Eastern,27,Escargots Nouveaux,56,61.6,0.200000003
10381,LILAS,3,12-12-1996,Leverling Janet,1359.6,7.99,3,Federal Shipping,LILA-Supermercado,74,Longlife Tofu,7,Produce,30346,4,Southern,4,Tokyo Traders,54,76.9,0
10385,SPLIR,1,17-12-1996,Davolio Nancy,2273.4,30.96,2,United Package,Split Rail Beer & Ale,7,Uncle Bob's Organic Dried Pears,7,Produce,06897,1,Eastern,3,Grandma Kelly's Homestead,109,41.6,0.200000003
10388,SEVES,2,19-12-1996,Fuller Andrew,950,34.86,1,Speedy Express,Seven Seas Imports,45,Rogede sild,8,Seafood,01581,1,Eastern,21,Lyngbysild,35,46,0.200000003
10395,HILAA,6,26-12-1996,Suyama Michael,12280.2,184.41,2,United Package,HILARION-Abastos,46,Spegesild,8,Seafood,85014,2,Western,21,Lyngbysild,164,330.6,0.100000001
10399,VAFFE,8,31-12-1996,Callahan Laura,1015.7,27.36,3,Federal Shipping,Vaffeljernet,68,Scottish Longbreads,3,Confections,19428,3,Northern,8,"Specialty Biscuits, Ltd.",40,50.8,0
10408,FOLIG,8,08-01-1997,Callahan Laura,1832.8,11.26,2,United Package,Folies gourmandes,37,Gravad lax,8,Seafood,19428,3,Northern,17,Svensk Sjöföda AB,81,95.4,0
10419,RICSU,4,20-01-1997,Peacock Margaret,2713.5,137.35,2,United Package,Richter Supermarkt,60,Camembert Pierrot,4,Dairy Products,20852,1,Eastern,28,Gai pâturage,125,42.3,0.050000001
10420,WELLI,3,21-01-1997,Leverling Janet,1005.6,44.12,3,Federal Shipping,Wellington Importadora,9,Mishi Kobe Niku,6,Meat/Poultry,30346,4,Southern,4,Tokyo Traders,91,24.1,0.100000001
10425,LAMAI,6,24-01-1997,Suyama Michael,319.2,7.93,1,Speedy Express,La maison d'Asie,55,Pâté chinois,6,Meat/Poultry,85014,2,Western,25,Ma Maison,24,26.6,0.25
10453,AROUT,1,21-02-1997,Davolio Nancy,5792.5,25.36,2,United Package,Around the Horn,48,Chocolade,3,Confections,06897,1,Eastern,22,Zaanse Snoepfabriek,208,150.9,0.100000001
10480,FOLIG,6,20-03-1997,Suyama Michael,717.6,1.35,3,Federal Shipping,Folies gourmandes,47,Zaanse koeken,3,Confections,85014,2,Western,22,Zaanse Snoepfabriek,23,57.5,0
10507,ANTON,7,15-04-1997,King Robert,199.95,47.45,2,United Package,Antonio Moreno Taquería,43,Ipoh Coffee,1,Beverages,60179,2,Western,20,Leka Trading,20,10,0.150000006
10538,BSBEV,9,15-05-1997,Dodsworth Anne,396,4.87,2,United Package,B's Beverages,70,Outback Lager,1,Beverages,03049,3,Northern,7,"Pavlova, Ltd.",20,58.3,0
10556,SIMOB,2,03-06-1997,Fuller Andrew,1907.85,9.8,2,United Package,Simons bistro,72,Mozzarella di Giovanni,4,Dairy Products,01581,1,Eastern,14,Formaggi Fortini s.r.l.,84,51,0
10581,FAMIA,3,26-06-1997,Leverling Janet,2082,3.01,3,Federal Shipping,Familia Arquibaldo,75,Rhönbräu Klosterbier,1,Beverages,30346,4,Southern,12,Plutzer Lebensmittelgroßmärkte AG,83,85.8,0.200000003
10582,BLAUS,3,27-06-1997,Leverling Janet,764.3,27.71,2,United Package,Blauer See Delikatessen,57,Ravioli Angelo,5,Grains/Cereals,30346,4,Southern,26,Pasta Buttini s.r.l.,32,103.45,0
10602,VAFFE,8,17-07-1997,Callahan Laura,1475.5,2.92,1,Speedy Express,Vaffeljernet,77,Original Frankfurter grüne Soße,2,Condiments,19428,3,Northern,12,Plutzer Lebensmittelgroßmärkte AG,59,89.65,0.25
10665,LONEP,1,11-09-1997,Davolio Nancy,1701,26.31,1,Speedy Express,Lonesome Pine Restaurant,51,Manjimup Dried Apples,7,Produce,06897,1,Eastern,24,"G'day, Mate",21,81,0
10692,ALFKI,4,03-10-1997,Peacock Margaret,3489.8,61.02,2,United Package,Alfreds Futterkiste,63,Vegie-spread,2,Condiments,20852,1,Eastern,7,"Pavlova, Ltd.",92,90.6,0
10732,BONAP,3,06-11-1997,Leverling Janet,1850,16.97,3,Federal Shipping,Bon app',76,Lakkalikööri,1,Beverages,30346,4,Southern,23,Karkki Oy,120,44.25,0
10735,LETSS,6,10-11-1997,Suyama Michael,1459,45.97,3,Federal Shipping,Let's Stop N Shop,61,Sirop d'érable,2,Condiments,85014,2,Western,29,Forêts d'érables,61,75.85,0.100000001
10881,CACTU,4,11-02-1998,Peacock Margaret,1874.4,2.84,1,Speedy Express,Cactus Comidas para llevar,73,Röd Kaviar,8,Seafood,20852,1,Eastern,17,Svensk Sjöföda AB,110,52.5,0
10258,ERNSH,1,17-07-1996,Davolio Nancy,624.9,140.51,2,United Package,Ernst Handel,2,Chang,1,Beverages,06897,1,Eastern,1,Exotic Liquids,57,30.8,0.200000003
10260,OTTIK,4,19-07-1996,Peacock Margaret,1119.9,55.09,3,Federal Shipping,Ottilies Käseladen,41,Jack's New England Clam Chowder,8,Seafood,20852,1,Eastern,19,New England Seafood Cannery,46,59.9,0.25
10261,QUEDE,4,19-07-1996,Peacock Margaret,100.8,3.05,3,Federal Shipping,Que Delícia,21,Sir Rodney's Scones,3,Confections,20852,1,Eastern,8,"Specialty Biscuits, Ltd.",11,28.8,0
10264,FOLKO,6,24-07-1996,Suyama Michael,4030.7,3.67,1,Speedy Express,Folk och fä HB,2,Chang,1,Beverages,85014,2,Western,1,Exotic Liquids,135,73.1,0
10271,SPLIR,6,01-08-1996,Suyama Michael,1488.8,4.54,2,United Package,Split Rail Beer & Ale,33,Geitost,4,Dairy Products,85014,2,Western,15,Norske Meierier,64,106.6,0
10272,RATTC,6,02-08-1996,Suyama Michael,86.5,98.03,1,Speedy Express,Rattlesnake Canyon Grocery,20,Sir Rodney's Marmalade,3,Confections,85014,2,Western,8,"Specialty Biscuits, Ltd.",11,25.3,0
10275,MAGAA,1,07-08-1996,Davolio Nancy,2178.6,26.93,2,United Package,Magazzini Alimentari Riuniti,24,Guaraná Fantástica,1,Beverages,06897,1,Eastern,10,Refrescos Americanas LTDA,121,55.3,0.050000001
10276,TORTU,8,08-08-1996,Callahan Laura,3016,13.84,3,Federal Shipping,Tortuga Restaurante,10,Ikura,8,Seafood,19428,3,Northern,4,Tokyo Traders,140,53.8,0
10279,LEHMS,8,13-08-1996,Callahan Laura,848.7,25.83,3,Federal Shipping,Lehmanns Marktstand,17,Alice Mutton,6,Meat/Poultry,19428,3,Northern,7,"Pavlova, Ltd.",33,94.9,0.25
10280,BERGS,2,14-08-1996,Fuller Andrew,121.6,8.98,2,United Package,Berglunds snabbköp,24,Guaraná Fantástica,1,Beverages,01581,1,Eastern,10,Refrescos Americanas LTDA,4,30.4,0
10284,LEHMS,4,19-08-1996,Peacock Margaret,424,76.56,2,United Package,Lehmanns Marktstand,27,Schoggi Schokolade,3,Confections,20852,1,Eastern,11,Heli Süßwaren GmbH & Co. KG,13,49.4,0.25
10287,RICAR,8,22-08-1996,Callahan Laura,268.8,12.76,3,Federal Shipping,Ricardo Adocicados,16,Pavlova,3,Confections,19428,3,Northern,7,"Pavlova, Ltd.",13,40,0.150000006
10290,COMMI,8,27-08-1996,Callahan Laura,112,79.7,3,Federal Shipping,Comércio Mineiro,5,Chef Anton's Gumbo Mix,2,Condiments,19428,3,Northern,2,New Orleans Cajun Delights,20,5.6,0
10292,TRADH,1,28-08-1996,Davolio Nancy,1168,1.35,3,Federal Shipping,Tradição Hipermercados,20,Sir Rodney's Marmalade,3,Confections,06897,1,Eastern,8,"Specialty Biscuits, Ltd.",59,70.8,0
10294,RATTC,4,30-08-1996,Peacock Margaret,2467,147.26,3,Federal Shipping,Rattlesnake Canyon Grocery,1,Chai,1,Beverages,20852,1,Eastern,1,Exotic Liquids,137,95.9,0
10296,LILAS,6,03-09-1996,Suyama Michael,2924.8,0.12,2,United Package,LILA-Supermercado,11,Queso Cabrales,4,Dairy Products,85014,2,Western,5,Cooperativa de Quesos 'Las Cabras',159,50.5,0
10298,HUNGO,6,05-09-1996,Suyama Michael,713.2,168.22,2,United Package,Hungry Owl All-Night Grocers,2,Chang,1,Beverages,85014,2,Western,1,Exotic Liquids,33,41.8,0
10299,RICAR,4,06-09-1996,Peacock Margaret,5677.45,29.76,1,Speedy Express,Ricardo Adocicados,19,Teatime Chocolate Biscuits,3,Confections,20852,1,Eastern,8,"Specialty Biscuits, Ltd.",120,250.8,0
10301,WANDK,8,09-09-1996,Callahan Laura,1707.6,45.08,3,Federal Shipping,Die Wandernde Kuh,40,Boston Crab Meat,8,Seafood,19428,3,Northern,19,New England Seafood Cannery,130,27.8,0
10302,SUPRD,4,10-09-1996,Peacock Margaret,112,6.27,3,Federal Shipping,Suprêmes délices,17,Alice Mutton,6,Meat/Poultry,20852,1,Eastern,7,"Pavlova, Ltd.",14,8,0
10303,GODOS,7,11-09-1996,King Robert,863.4,107.83,2,United Package,Godos Cocina Típica,40,Boston Crab Meat,8,Seafood,60179,2,Western,19,New England Seafood Cannery,38,61.2,0.100000001
10305,OLDWO,8,13-09-1996,Callahan Laura,2333,257.62,1,Speedy Express,Old World Delicatessen,18,Carnarvon Tigers,8,Seafood,19428,3,Northern,7,"Pavlova, Ltd.",106,64.6,0.100000001
10306,ROMEY,1,16-09-1996,Davolio Nancy,1765.6,7.56,3,Federal Shipping,Romero y tomillo,30,Nord-Ost Matjeshering,8,Seafood,06897,1,Eastern,13,Nord-Ost-Fisch Handelsgesellschaft mbH,139,52,0
10310,THEBI,8,20-09-1996,Callahan Laura,479.5,17.52,2,United Package,The Big Cheese,16,Pavlova,3,Confections,19428,3,Northern,7,"Pavlova, Ltd.",30,33.6,0
10312,WANDK,2,23-09-1996,Fuller Andrew,756,40.26,2,United Package,Die Wandernde Kuh,28,Rössle Sauerkraut,7,Produce,01581,1,Eastern,12,Plutzer Lebensmittelgroßmärkte AG,42,51.6,0
10313,QUICK,2,24-09-1996,Fuller Andrew,880.95,1.96,1,Speedy Express,QUICK-Stop,36,Inlagd Sill,8,Seafood,01581,1,Eastern,17,Svensk Sjöföda AB,30,58.75,0
10316,RATTC,1,27-09-1996,Davolio Nancy,387.3,150.15,1,Speedy Express,Rattlesnake Canyon Grocery,41,Jack's New England Clam Chowder,8,Seafood,06897,1,Eastern,19,New England Seafood Cannery,50,7.75,0
10317,LONEP,6,30-09-1996,Suyama Michael,330,12.69,2,United Package,Lonesome Pine Restaurant,1,Chai,1,Beverages,85014,2,Western,1,Exotic Liquids,18,37.5,0
10318,ISLAT,8,01-10-1996,Callahan Laura,64.75,4.73,2,United Package,Island Trading,41,Jack's New England Clam Chowder,8,Seafood,19428,3,Northern,19,New England Seafood Cannery,5,13,0
10319,TORTU,7,02-10-1996,King Robert,1295,64.5,2,United Package,Tortuga Restaurante,17,Alice Mutton,6,Meat/Poultry,60179,2,Western,7,"Pavlova, Ltd.",31,126,0
10320,WARTH,5,03-10-1996,Buchanan Steven,878,34.57,2,United Package,Wartian Herkku,71,Flotemysost,4,Dairy Products,02903,1,Eastern,15,Norske Meierier,20,43.9,0
10321,ISLAT,3,03-10-1996,Leverling Janet,360,3.43,1,Speedy Express,Island Trading,35,Steeleye Stout,1,Beverages,30346,4,Southern,16,Bigfoot Breweries,20,18,0
10323,KOENE,4,07-10-1996,Peacock Margaret,150,4.88,1,Speedy Express,Königlich Essen,15,Genen Shouyu,2,Condiments,20852,1,Eastern,6,Mayumi's,10,15,0
10324,SAVEA,9,08-10-1996,Dodsworth Anne,0,214.27,1,Speedy Express,Save-a-lot Markets,16,Pavlova,3,Confections,03049,3,Northern,7,"Pavlova, Ltd.",0,0,0.150000006
10326,BOLID,4,10-10-1996,Peacock Margaret,0,77.92,2,United Package,Bólido Comidas preparadas,4,Chef Anton's Cajun Seasoning,2,Condiments,20852,1,Eastern,2,New Orleans Cajun Delights,0,0,0
10327,FOLKO,2,11-10-1996,Fuller Andrew,0,63.36,3,Federal Shipping,Folk och fä HB,2,Chang,1,Beverages,01581,1,Eastern,1,Exotic Liquids,0,0,0.200000003
10329,SPLIR,4,15-10-1996,Peacock Margaret,0,191.67,2,United Package,Split Rail Beer & Ale,19,Teatime Chocolate Biscuits,3,Confections,20852,1,Eastern,8,"Specialty Biscuits, Ltd.",0,0,0.050000001
10331,BONAP,9,16-10-1996,Dodsworth Anne,0,10.19,3,Federal Shipping,Bon app',54,Tourtière,6,Meat/Poultry,03049,3,Northern,25,Ma Maison,0,0,0
10332,MEREP,3,17-10-1996,Leverling Janet,0,52.84,2,United Package,Mère Paillarde,18,Carnarvon Tigers,8,Seafood,30346,4,Southern,7,"Pavlova, Ltd.",0,0,0.200000003
10333,WARTH,5,18-10-1996,Buchanan Steven,186,0.59,1,Speedy Express,Wartian Herkku,14,Tofu,7,Produce,02903,1,Eastern,6,Mayumi's,30,6.2,0
10334,VICTE,8,21-10-1996,Callahan Laura,1451.25,8.56,1,Speedy Express,Victuailles en stock,52,Filo Mix,5,Grains/Cereals,19428,3,Northern,24,"G'day, Mate",61,89,0
10335,HUNGO,7,22-10-1996,King Robert,923.7,42.11,3,Federal Shipping,Hungry Owl All-Night Grocers,2,Chang,1,Beverages,60179,2,Western,1,Exotic Liquids,75,34.7,0.200000003
10336,PRINI,7,23-10-1996,King Robert,2169,15.51,1,Speedy Express,Princesa Isabel Vinhos,4,Chef Anton's Cajun Seasoning,2,Condiments,60179,2,Western,2,New Orleans Cajun Delights,60,142.4,0.100000001
10338,OLDWO,4,25-10-1996,Peacock Margaret,1887.6,84.21,2,United Package,Old World Delicatessen,17,Alice Mutton,6,Meat/Poultry,20852,1,Eastern,7,"Pavlova, Ltd.",75,115.8,0
10339,MEREP,2,28-10-1996,Fuller Andrew,1050.6,15.66,1,Speedy Express,Mère Paillarde,4,Chef Anton's Cajun Seasoning,2,Condiments,01581,1,Eastern,2,New Orleans Cajun Delights,57,59.5,0
10340,BONAP,1,29-10-1996,Davolio Nancy,3126.5,166.31,2,United Package,Bon app',18,Carnarvon Tigers,8,Seafood,06897,1,Eastern,7,"Pavlova, Ltd.",125,113.8,0.050000001
10341,SIMOB,7,29-10-1996,King Robert,349.5,26.78,2,United Package,Simons bistro,33,Geitost,4,Dairy Products,60179,2,Western,15,Norske Meierier,35,19.3,0
10342,FRANK,4,30-10-1996,Peacock Margaret,755,54.83,2,United Package,Frankenversand,2,Chang,1,Beverages,20852,1,Eastern,1,Exotic Liquids,30,45.1,0.200000003
10344,WHITC,4,01-11-1996,Peacock Margaret,1241.7,23.29,2,United Package,White Clover Markets,4,Chef Anton's Cajun Seasoning,2,Condiments,20852,1,Eastern,2,New Orleans Cajun Delights,85,41.5,0
10346,RATTC,3,05-11-1996,Leverling Janet,498.5,142.08,3,Federal Shipping,Rattlesnake Canyon Grocery,17,Alice Mutton,6,Meat/Poultry,30346,4,Southern,7,"Pavlova, Ltd.",25,52.8,0.100000001
10348,WANDK,4,07-11-1996,Peacock Margaret,1614.8,0.78,2,United Package,Die Wandernde Kuh,1,Chai,1,Beverages,20852,1,Eastern,1,Exotic Liquids,58,105.6,0.150000006
10349,SPLIR,7,08-11-1996,King Robert,182.4,8.63,2,United Package,Split Rail Beer & Ale,54,Tourtière,6,Meat/Poultry,60179,2,Western,25,Ma Maison,12,15.2,0
10352,FURIB,3,12-11-1996,Leverling Janet,240.4,1.3,2,United Package,Furia Bacalhau e Frutos do Mar,24,Guaraná Fantástica,1,Beverages,30346,4,Southern,10,Refrescos Americanas LTDA,26,22.1,0
10353,PICCO,7,13-11-1996,King Robert,1191.2,360.63,3,Federal Shipping,Piccolo und mehr,11,Queso Cabrales,4,Dairy Products,60179,2,Western,5,Cooperativa de Quesos 'Las Cabras',52,82,0.200000003
10354,PERIC,8,14-11-1996,Callahan Laura,516,53.8,3,Federal Shipping,Pericles Comidas clásicas,1,Chai,1,Beverages,19428,3,Northern,1,Exotic Liquids,30,17.2,0
